date,close,volume,open,high,low,dividends
2022-02-01 10:30:00,97.54000091552734,1765382,98.4175033569336,98.4175033569336,97.15879821777344,0.0
2022-02-01 11:30:00,97.1050033569336,1349090,97.54000091552734,97.93499755859375,97.08000183105469,0.0
2022-02-01 12:30:00,97.5,1585821,97.08999633789062,97.69000244140625,96.80000305175781,0.0
2022-02-01 13:30:00,97.87999725341797,805759,97.51000213623047,97.94000244140625,97.3499984741211,0.0
2022-02-01 14:30:00,97.88999938964844,606578,97.87000274658203,97.9800033569336,97.63330078125,0.0
2022-02-01 15:30:00,98.48600006103516,1046771,97.88999938964844,98.56999969482422,97.75,0.0
2022-02-01 16:30:00,98.75,1662400,98.5,99.02999877929688,98.37480163574219,0.0
2022-02-02 10:30:00,97.69999694824219,6501640,95.80000305175781,99.1500015258789,94.73999786376953,0.0
2022-02-02 11:30:00,97.5479965209961,1686565,97.69499969482422,98.94999694824219,97.30999755859375,0.0
2022-02-02 12:30:00,97.90950012207031,1105587,97.55999755859375,98.35970306396484,97.37999725341797,0.0
2022-02-02 13:30:00,97.83000183105469,972225,97.88500213623047,98.38259887695312,97.5,0.0
2022-02-02 14:30:00,97.4800033569336,924645,97.82499694824219,97.97000122070312,97.16000366210938,0.0
2022-02-02 15:30:00,97.5999984741211,977651,97.4800033569336,97.88999938964844,97.36000061035156,0.0
2022-02-02 16:30:00,97.7300033569336,1281507,97.61000061035156,97.81999969482422,97.47000122070312,0.0
2022-02-03 10:30:00,96.29000091552734,1782976,96.83999633789062,97.47000122070312,95.69999694824219,0.0
2022-02-03 11:30:00,96.5,994174,96.27999877929688,96.66000366210938,95.81500244140625,0.0
2022-02-03 12:30:00,96.27999877929688,718499,96.51000213623047,96.58000183105469,96.20500183105469,0.0
2022-02-03 13:30:00,96.11000061035156,496583,96.2699966430664,96.4800033569336,95.97000122070312,0.0
2022-02-03 14:30:00,96.05999755859375,540690,96.0999984741211,96.33000183105469,95.97000122070312,0.0
2022-02-03 15:30:00,96.2699966430664,903128,96.05079650878906,96.33999633789062,95.68000030517578,0.0
2022-02-03 16:30:00,95.94000244140625,1325032,96.25,96.2697982788086,95.66999816894531,0.0
2022-02-04 10:30:00,94.66999816894531,1543926,95.41000366210938,95.94000244140625,94.44000244140625,0.0
2022-02-04 11:30:00,94.33000183105469,1224257,94.66999816894531,94.8499984741211,93.83000183105469,0.0
2022-02-04 12:30:00,94.79000091552734,528318,94.33999633789062,94.91999816894531,94.31500244140625,0.0
2022-02-04 13:30:00,95.19200134277344,716362,94.80000305175781,95.31999969482422,94.4800033569336,0.0
2022-02-04 14:30:00,95.16000366210938,568717,95.20010375976562,95.26000213623047,94.94000244140625,0.0
2022-02-04 15:30:00,95.58370208740234,751441,95.15499877929688,95.7699966430664,95.11000061035156,0.0
2022-02-04 16:30:00,95.0,1205538,95.56999969482422,95.70010375976562,94.97000122070312,0.0
2022-02-07 10:30:00,95.76000213623047,1338608,95.25,95.94999694824219,95.1500015258789,0.0
2022-02-07 11:30:00,96.05000305175781,891666,95.76850128173828,96.11000061035156,95.68000030517578,0.0
2022-02-07 12:30:00,95.68000030517578,583266,96.04499816894531,96.04499816894531,95.5250015258789,0.0
2022-02-07 13:30:00,95.94740295410156,440655,95.67500305175781,96.11000061035156,95.54000091552734,0.0
2022-02-07 14:30:00,95.76000213623047,566481,95.94999694824219,96.0199966430664,95.6500015258789,0.0
2022-02-07 15:30:00,95.625,577816,95.7750015258789,95.9800033569336,95.59269714355469,0.0
2022-02-07 16:30:00,95.19999694824219,1288886,95.62999725341797,95.72000122070312,94.87999725341797,0.0
2022-02-08 10:30:00,95.23999786376953,1488682,94.8499984741211,95.37750244140625,94.3499984741211,0.0
2022-02-08 11:30:00,95.3499984741211,928912,95.2300033569336,96.02670288085938,95.04000091552734,0.0
2022-02-08 12:30:00,95.5199966430664,656005,95.37000274658203,95.69999694824219,95.31999969482422,0.0
