"","date","sentiment_by_dictionary","sentiment_by_basic","sentiment_weighted_mixed","sentiment_avg_mean","Topic_1","Topic_2","volume","Target","ema","M","ROC","rsi"
"1",2022-03-02 13:30:00,-0.163168287287736,-0.0594721162809569,-0.209394688588696,0.185977886983081,0.57701921704598,-0.514011512332805,0.0683054454301988,1,0.942738496758956,0.079994201660142,0.000864335032952468,0.774102212058681
"2",2022-03-02 15:30:00,0.135804164814234,0.308422544217938,0.144304084723605,-0.261188966831168,-0.260857965981118,-0.474889976129978,0.0321112776512946,0,0.956834947968221,-0.295501708984375,-0.00318249650508395,0.786025958100013
"3",2022-03-02 16:30:00,0.163287997782809,0.12435709843566,0.16572209829263,-0.0695863157033798,-0.504112632021244,-0.02499230979747,0.11672901287109,1,0.968412836416912,0,0,0.768217996942857
"4",2022-03-02 17:30:00,-0.435568554021272,-0.445833243460925,-0.416248587927541,-0.160660148308579,-0.233829669754438,-0.514011512332805,0.343514363819697,0,0.992011918354169,0.16500091552733,0.00178047387112201,0.7847350828222
"5",2022-03-02 19:30:00,0.199442947528549,-0.330087134400459,0.193583286968882,0.156402153709756,-0.0986881886210349,-0.514011512332805,0.200328653384552,0,0.99643941856615,-0.580001831054673,-0.0062696326620566,0.692997280407796
"6",2022-03-03 13:30:00,-0.0220322849038611,-0.140190202852173,-0.0278230205276556,0.285740497609511,0.0538909029811942,-0.362573307676701,0,0,0.996028741349351,-0.964996337890611,-0.0104582095740371,0.624939491164912
"7",2022-03-03 14:30:00,0.157570046578276,-0.437149151500012,0.169908263976072,0.340675813135866,0.171594773645771,-0.416207671825738,0.0325542539615722,0,0.992575860526679,-0.730003356933608,-0.00794738667330819,0.579460624086004
"8",2022-03-03 15:30:00,-0.0784205647151755,-0.406277902163695,-0.0485078102998313,0.112812294955106,-0.196972902172601,-0.0872311173928763,0.0661581365363107,0,0.998642330382219,0.594802856445312,0.00645913457495073,0.710274923019799
"9",2022-03-03 16:30:00,0.0771377712928971,-0.0482395988062185,0.0860510481763096,0.728063636218117,-0.175911892125837,-0.178684059165718,0.0147688802384764,1,1,0.492599487304702,0.00536974658661293,0.647471862459325
"10",2022-03-03 17:30:00,-0.526861730975144,-0.364143942290623,-0.528239119745397,0.41502407361091,-0.31491455843448,-0.514011512332805,0.123592392720272,0,0.993020645157647,-0.452598571777344,-0.0049326258686806,0.581909616857802
"11",2022-03-03 19:30:00,0.0970159553281838,0.113617098036042,0.0872421163445527,0.363890657707438,0.441877735912577,0.0728115307095968,0.138523947874953,1,0.973831596000096,-1.55000305175781,-0.0170888125304938,0.38483751394211
"12",2022-03-04 13:30:00,-0.00662058436419968,-0.23290817040303,-0.001525519965654,0.359111957928869,0.164664441279956,-0.303357086625276,0.0641692479838947,0,0.954210454252599,-1.81999969482422,-0.0200845386942605,0.362645909694801
"13",2022-03-04 14:30:00,-0.160192509425033,0.00599973273008753,-0.162681547955693,0.119974812213604,-0.436541891454542,-0.220599990811604,0.0513196814875195,0,0.940771771993101,0.199996948242173,0.00222144877485153,0.434665857983476
"14",2022-03-04 15:30:00,-0.453046626094166,-0.388995610532826,-0.42668959499019,-0.116732270499083,-0.0311174480543334,-0.0738942300510036,0.0869564999765998,1,0.907114154334111,-0.180000305175781,-0.00199844962883677,0.418705325145955
"15",2022-03-04 18:30:00,0.0548672094639084,-0.0847673776509708,0.0313993350020508,0.327174257848761,0.495934328365938,-0.396646903724324,0.158987951795168,0,0.897133754851398,-0.180000305175781,-0.00199734095816506,0.429046322422891
"16",2022-03-04 19:30:00,0.0642503676170403,-0.544069291940018,0.0802811867628215,-0.0223855140208597,0.519101439417379,-0.346347785749261,0.237467587022946,1,0.869205363037618,-1.79000091552734,-0.0200938551370076,0.228674885552904
"17",2022-03-07 13:30:00,0.0256984199086421,-0.162910077152703,0.0338567388552818,0.377161455969405,0.158364139129214,-0.10911729149236,0.269953267250611,0,0.796360847683106,-1.42000579833984,-0.0162327044658941,0.126440801242794
"18",2022-03-07 15:30:00,0.128447508345494,-0.162060381504511,0.130734220804086,0.186714333992177,0.214271030845793,-0.328698972424678,0.230086400402032,0,0.75481751134944,-1.16999816894531,-0.0135238514631766,0.0762233689877789
"19",2022-03-07 16:30:00,-0.303150295011718,-0.465575316908492,-0.289321005326682,0.0711925891735404,-0.098688188621035,-0.187998710642582,0.2650457404324,0,0.71702529875843,-0.859992980957031,-0.00996062184043556,0.0750797412680118
"20",2022-03-07 17:30:00,0.0321221439185015,-0.173334842636625,0.00863308471529109,0.247938468255573,0.171594773645771,-0.0816155858805088,0.39018529674032,1,0.674307438925522,-0.849998474121094,-0.00994100302297785,0.0297581135376128
"21",2022-03-07 18:30:00,0.0314876589884102,-0.433053740299226,0.0400363747130816,-0.084270657468336,0.00942499628568752,-0.367305751572204,0.481329549598205,0,0.629289930772635,-1.45000457763672,-0.0170222406112179,0
"22",2022-03-07 19:30:00,0.105643133157985,-0.298516538524123,0.0761770876194943,-0.120962117489219,0.153575909494651,0.059771018641988,0.459878734609389,0,0.588867920248547,-0.590003967285156,-0.00695885297267385,0.00666811814224281
"23",2022-03-08 13:30:00,-0.099248610922344,-0.283880888682068,-0.0839877500442898,0.137100808113932,-0.0271426986092334,0.182121705393966,0.155523476618234,0,0.557328445915415,0.520004272460938,0.00613793552327291,0.11533917850498
"24",2022-03-08 14:30:00,-0.28259310360463,-0.297908843294393,-0.23168687232669,0.124217294447806,-0.0311174480543334,1.393163377555,0.203502315865134,1,0.541015105787028,1.68000030517578,0.0196889091214194,0.339063201981925
